iter	Passed	Remaining
0	177	177662
1	181	90630
2	185	61542
3	190	47358
4	193	38517
5	198	32867
6	205	29090
7	212	26388
8	216	23875
9	283	28050
10	287	25885
11	291	24024
12	300	22816
13	306	21591
14	313	20585
15	323	19883
16	336	19473
17	345	18875
18	352	18207
19	366	17937
20	369	17245
21	381	16938
22	400	16998
23	489	19909
24	501	19557
25	548	20563
26	553	19936
27	563	19549
28	567	19001
29	575	18613
30	580	18147
31	591	17883
32	594	17416
33	597	16985
34	608	16776
35	612	16397
36	619	16122
37	621	15741
38	625	15412
39	630	15123
40	634	14831
41	637	14543
42	641	14273
43	650	14134
44	654	13895
45	660	13692
46	664	13464
47	667	13238
48	671	13032
49	677	12868
50	680	12668
51	684	12472
52	691	12356
53	694	12175
54	698	11999
55	701	11826
56	707	11704
57	711	11548
58	715	11403
59	720	11283
60	722	11128
61	727	11001
62	736	10958
63	740	10824
64	744	10711
65	750	10624
66	755	10518
67	758	10402
68	765	10334
69	769	10223
70	772	10112
71	778	10030
72	782	9931
73	785	9829
74	790	9749
75	798	9704
76	803	9635
77	807	9550
78	811	9458
79	815	9375
80	822	9331
81	825	9245
82	833	9208
83	837	9131
84	840	9050
85	846	8997
86	851	8932
87	854	8860
88	864	8845
89	868	8778
90	872	8711
91	878	8667
92	881	8597
93	885	8532
94	888	8464
95	893	8410
96	896	8347
97	899	8282
98	903	8220
99	908	8180
100	912	8120
101	915	8060
102	919	8007
103	924	7962
104	927	7906
105	931	7852
106	935	7807
107	939	7762
108	943	7710
109	946	7657
110	950	7609
111	954	7570
112	958	7520
113	961	7472
114	967	7444
115	971	7400
116	974	7353
117	977	7308
118	983	7279
119	986	7234
120	990	7192
121	993	7151
122	998	7121
123	1002	7079
124	1005	7036
125	1008	6995
126	1013	6965
127	1016	6925
128	1020	6888
129	1024	6854
130	1029	6826
131	1032	6788
132	1035	6751
133	1039	6718
134	1043	6688
135	1046	6650
136	1050	6615
137	1053	6579
138	1060	6570
139	1064	6540
140	1068	6506
141	1075	6495
142	1078	6462
143	1082	6433
144	1088	6421
145	1092	6390
146	1095	6357
147	1098	6325
148	1105	6312
149	1109	6288
150	1113	6260
151	1119	6245
152	1123	6217
153	1127	6193
154	1133	6179
155	1137	6152
156	1140	6123
157	1144	6096
158	1150	6084
159	1154	6062
160	1158	6035
161	1163	6020
162	1169	6003
163	1172	5975
164	1177	5959
165	1181	5935
166	1184	5909
167	1187	5882
168	1193	5868
169	1197	5848
170	1200	5821
171	1204	5796
172	1209	5783
173	1213	5761
174	1216	5736
175	1221	5718
176	1224	5695
177	1227	5670
178	1230	5646
179	1234	5621
180	1238	5604
181	1242	5583
